sa2_code,sa2_gini
502011029,0.477
503011030,0.617
503011031,0.613
503011032,0.621
503011033,0.574
503011034,0.668
503011035,0.657
503011036,0.600
503021037,na
503021038,0.471
503021039,0.523
503021040,0.487
503021041,0.537
503021042,0.560
503021043,0.525
504011044,0.432
504011045,0.446
504011046,0.472
504011047,0.431
504011048,0.460
504021049,0.448
504021050,0.509
504021051,0.442
504021052,na
504021053,0.477
504021054,0.427
504031055,na
504031056,0.409
504031057,0.401
504031058,0.456
504031059,0.404
504031060,0.532
504031061,0.436
504031062,0.404
504031063,0.437
504031065,0.443
504031066,0.423
504031067,0.403
504031068,0.467
505011070,0.395
505011071,0.439
505011072,0.494
505011073,0.442
505011074,0.435
505011075,0.526
505011076,0.495
505011077,0.440
505011078,0.445
505011079,0.495
505011080,0.486
505011081,0.433
505011082,0.545
505011083,0.462
505021084,0.430
505021085,0.387
505021086,0.492
505021088,0.445
505021089,0.500
505021090,0.394
505021091,0.663
505021092,0.461
505021093,0.476
505021094,0.531
505021095,0.420
505021096,0.557
505021097,0.503
505031098,0.415
505031099,0.422
505031100,0.404
505031101,0.407
505031102,0.385
505031103,0.431
505031104,0.411
505031105,0.476
505031106,na
505031107,0.427
505031108,0.436
505031255,0.383
505031256,0.459
505031257,0.473
505031258,0.436
506011110,0.395
506011111,na
506011112,0.405
506011113,0.402
506011114,0.421
506011115,0.468
506011116,0.474
506011117,0.381
506021118,0.440
506021119,0.451
506021120,na
506021121,na
506021122,0.433
506021123,0.473
506031124,0.463
506031125,0.479
506031126,na
506031127,0.425
506031128,0.430
506031129,0.535
506031130,0.445
506031131,0.490
506041132,0.415
506041133,0.449
506041134,0.399
506041135,0.422
506041136,0.423
506041137,0.426
506051138,0.407
506051139,0.398
506051140,0.490
506051141,0.481
506061142,0.407
506061143,0.481
506061144,0.489
506071145,0.484
506071146,0.548
506071147,0.545
507011148,0.436
507011150,0.396
507011152,0.457
507011153,0.432
507011154,0.441
507011155,na
507011158,0.519
507011159,0.421
507011160,0.432
507011161,0.420
507011163,0.414
507011259,0.425
507011260,0.490
507021164,0.546
507021165,0.534
507021166,0.493
507021167,na
507031169,0.397
507031170,0.412
507031172,na
507031173,na
507031174,0.410
507031261,0.417
507041175,0.609
507041176,0.514
507041177,0.490
507041178,0.548
507041179,0.518
507041180,0.481
507041181,0.532
507041182,0.501
507041183,0.439
507041184,0.537
507051185,0.425
507051186,0.428
507051187,0.444
507051188,0.459
507051189,na
507051190,0.478
507051191,0.453
507051192,0.439
507051193,0.443
509011225,0.485
509011226,0.539
509011227,0.460
509011228,0.518
509011229,0.528
509011230,0.459
509011231,0.504
509011232,0.469
509011233,0.417
509011234,0.497
509021236,0.489
509021237,0.493
509021238,0.501
509021239,0.520
509021240,0.501
509021241,0.501
509021242,0.515
509021243,0.445
509021244,0.512
509021245,0.658
509031246,0.502
509031247,0.526
509031248,0.462
509031249,0.456
509031250,0.502
510011262,0.417
510011263,0.450
510011264,0.491
510011265,0.432
510011266,0.505
510021267,0.473
510021268,0.409
510021269,0.414
510021270,0.396
510031271,0.388
510031272,0.428
510031273,0.416
511011274,0.474
511011275,0.555
511021276,0.479
511021277,0.446
511031278,0.401
511031279,0.414
511031280,0.402
511031281,na
511031282,0.423
511031283,0.408
511041285,0.469
511041286,0.437
511041287,0.432
511041288,0.437
511041289,0.511
511041290,0.506
511041291,0.572
511041292,0.530
601011001,0.369
601011002,0.354
601011003,0.367
601021004,0.487
601021005,0.428
601021006,0.382
601021007,0.428
601021008,0.445
601021009,0.359
601021010,0.343
601021011,0.369
601021012,0.431
601031013,0.372
601031014,0.366
601031015,0.367
601031016,0.371
601031017,0.383
601031018,0.380
601031019,0.394
601031020,0.389
601031021,0.389
601041022,0.407
601041023,0.444
601041024,0.405
601041026,0.478
601051027,0.544
601051028,0.421
601051029,0.500
601051030,0.445
601051031,0.566
601051032,0.467
601051033,0.464
601061034,0.395
601061035,0.411
602011036,0.415
602011037,0.416
602011038,0.518
602011039,0.438
602011040,0.434
602011041,0.404
602011042,0.502
602011043,0.447
602011044,0.417
602011045,0.375
602011046,0.447
602011047,0.413
602011048,0.375
602011049,0.433
602011050,0.382
602011051,0.431
602011052,0.436
602021053,0.477
602021054,0.482
602021055,0.477
602021056,0.388
602021057,0.475
602031058,0.447
602031059,0.443
602031060,0.427
602031061,0.517
602031062,0.421
602031064,0.513
602031099,0.486
602031100,0.473
603011065,0.517
603011066,0.421
603011067,0.450
603011068,na
603021069,0.523
603021070,0.506
603021071,0.463
603021072,0.439
603031073,0.484
603031074,0.498
604011075,0.385
604011076,0.469
604011077,0.449
604011078,0.447
604011079,0.444
604011080,0.412
604011081,0.454
604011082,0.426
604011083,0.433
604011084,0.433
604021085,0.455
604021086,0.474
604021087,0.410
604021088,0.424
604021089,0.456
604021090,0.413
604021091,0.461
604021092,0.425
604031093,0.480
604031094,0.483
604031095,0.406
604031096,0.502
604031097,0.479
701011001,na
701011002,0.512
701011003,na
701011004,0.496
701011005,0.492
701011006,0.435
701011007,0.478
701011008,0.401
701011009,0.450
701021010,0.418
701021011,0.376
701021012,0.452
701021013,0.461
701021015,na
701021016,0.387
701021017,na
701021018,0.401
701021019,0.380
701021020,0.390
701021021,0.387
701021022,0.390
701021023,0.397
701021024,0.398
701021025,0.436
701021026,0.417
701021027,0.391
701021028,0.392
701021029,0.415
701021030,0.380
701031031,0.401
701031032,0.399
701031033,na
701031034,0.415
701031035,0.421
701041036,0.349
701041037,0.374
701041038,0.402
701041039,0.374
701041040,0.364
701041041,0.367
701041042,0.339
701041043,0.396
701041044,0.370
702011045,0.397
702011046,0.376
702011047,0.369
702011048,0.367
702011049,0.394
702011050,0.341
702011051,0.399
702011052,0.470
702011053,0.508
702011054,0.408
702021055,0.429
702021056,0.391
702031057,0.460
702031058,0.480
702031059,0.439
702031060,0.416
702031061,na
702041062,0.423
702041063,0.493
702041064,0.410
702051065,0.425
702051066,0.487
702051067,0.395
702051068,0.413
801011001,0.450
801011002,0.397
801011003,0.435
801011004,0.360
801011005,0.408
801011006,0.347
801011007,0.400
801011008,0.405
801011009,0.390
801011010,0.406
801011011,0.398
801011013,0.462
801011014,0.377
801011015,0.373
801011016,0.424
801011017,0.371
801011018,0.474
801011019,0.347
801011020,0.420
801011021,0.429
801011022,0.416
801011023,0.401
801011024,0.377
801011025,0.386
801011026,0.435
801011111,na
801011112,na
801031031,na
801031032,na
801031113,0.501
801031114,na
801031115,0.507
801041034,0.390
801041035,0.364
801041036,0.329
801041037,0.357
801041038,0.388
801041039,0.388
801041040,0.405
801041043,0.533
801041044,0.385
801041045,na
801041046,0.371
801041047,0.446
801041048,0.401
801041118,0.329
801041119,na
801041120,0.401
801051049,0.627
801051050,0.455
801051051,0.395
801051053,0.500
801051054,0.421
801051055,0.436
801051056,0.427
801051057,0.415
801051058,0.457
801051060,0.450
801051061,0.399
801051124,0.467
801051125,0.361
801051127,0.560
801051128,na
801061062,0.494
801061063,0.561
801061064,0.477
801061067,0.445
801061068,na
801061069,0.540
801061070,0.521
801061129,0.397
801061130,0.429
801061131,0.406
801071071,0.357
801071072,0.368
801071073,0.379
801071074,0.372
801071075,0.373
801071076,0.420
801071077,0.372
801071078,0.374
801071079,0.392
801071080,0.390
801071081,0.363
801071082,0.402
801071083,0.397
801071084,0.388
801071086,0.376
801071087,0.348
801071088,0.354
801071089,na
801071090,0.399
801071132,na
801081091,0.464
801081092,0.416
801081093,0.407
801081094,0.405
801081095,0.391
801081096,0.421
801081097,0.408
801081098,0.416
801081133,na
801091099,0.426
801091100,0.458
801091101,0.454
801091102,0.489
801091103,0.458
801091104,0.469
801091105,0.437
801091106,0.435
801091107,0.562
801091108,0.466
801091109,0.364
801091110,0.423
801101134,na
801101135,0.349
801101138,na
801101139,0.333
801111140,0.422
801111141,na
901011001,0.366
901021002,na
901031003,na
901041004,na
