sa2_code,sa2_gini
120011386,0.486
120021387,0.572
120021388,0.481
120021389,0.500
120031390,0.459
120031391,0.512
120031392,0.443
120031393,0.449
120031394,0.435
120031395,0.531
120031396,0.437
120031575,0.545
120031576,0.454
121011398,0.547
121011399,0.496
121011400,0.578
121011401,0.480
121011402,0.620
121021403,0.455
121021404,0.454
121021406,0.484
121021577,0.429
121021578,0.478
121021579,0.469
121031407,0.628
121031408,0.617
121031409,0.597
121031410,0.582
121031411,0.582
121031412,0.608
121041413,0.568
121041414,0.487
121041415,0.664
121041416,0.540
121041417,0.552
122011418,0.609
122011419,0.568
122021420,0.618
122021421,0.592
122021422,0.563
122021423,0.505
122031424,0.481
122031425,0.490
122031426,0.483
122031427,0.545
122031428,0.528
122031429,0.507
122031430,0.503
122031431,0.510
122031432,0.606
123011433,0.444
123011434,0.417
123011435,0.369
123021436,0.374
123021437,0.398
123021438,0.365
123021440,0.418
123021441,0.385
123021442,0.382
123021443,0.373
123021444,0.393
123031445,0.412
123031446,0.427
123031447,0.419
123031448,0.457
124011449,0.477
124011450,0.457
124011451,na
124011452,0.484
124011453,0.432
124011454,0.437
124011455,0.504
124021456,na
124031457,0.372
124031458,0.385
124031459,0.423
124031460,0.395
124031461,0.386
124031462,0.382
124031463,0.448
124031464,0.413
124031465,0.399
124041466,0.416
124041467,0.399
124041468,0.426
124051469,0.376
124051470,0.358
124051580,0.362
124051581,0.364
125011473,0.435
125011475,na
125011582,0.444
125011583,0.415
125011584,0.454
125011585,0.440
125011586,0.461
125011587,0.435
125021476,0.494
125021477,0.432
125021478,0.470
125031479,0.423
125031480,0.401
125031481,0.423
125031482,0.412
125031483,0.430
125031484,0.408
125031485,0.420
125031486,na
125031487,na
125041489,0.422
125041490,0.478
125041491,0.410
125041492,0.416
125041493,0.431
125041494,0.445
125041588,0.417
125041589,0.422
126011495,0.520
126011496,0.526
126021497,0.518
126021498,0.521
126021499,0.657
126021500,0.459
126021501,0.487
126021503,0.444
126021590,0.561
126021591,0.468
127011504,0.385
127011505,0.443
127011506,0.404
127011592,na
127011593,0.424
127011594,0.382
127011595,0.381
127011596,0.371
127011597,0.383
127021509,0.395
127021510,0.411
127021511,0.424
127021512,0.404
127021513,0.414
127021514,0.402
127021515,0.402
127021516,0.413
127021517,0.414
127021518,0.474
127021519,0.395
127021520,0.416
127021521,0.450
127031522,0.416
127031523,0.417
127031524,0.395
127031598,0.399
127031599,0.382
127031600,0.382
127031601,0.392
128011529,0.471
128011530,0.480
128011531,0.546
128011602,0.420
128011603,0.533
128011604,0.486
128011605,0.583
128011606,0.549
128021533,0.431
128021534,0.476
128021535,0.444
128021536,0.486
128021537,na
128021538,0.416
128021607,0.417
128021608,0.442
128021609,0.442
201011001,0.430
201011002,0.539
201011003,0.447
201011004,0.409
201011005,0.463
201011006,0.399
201011007,0.406
201011008,0.415
201021009,0.448
201021010,0.486
201021011,0.504
201021012,0.460
201031013,0.519
201031014,0.570
201031015,0.430
201031016,0.437
201031017,0.507
202011018,0.467
202011019,0.399
202011020,0.477
202011021,0.438
202011022,0.412
202011023,0.419
202011024,0.442
202011025,0.407
202021026,0.455
202021027,0.461
202021028,0.496
202021029,0.483
202021030,0.475
202021031,0.483
202031032,0.477
202031033,0.573
203011034,0.436
203011035,0.458
203011036,0.494
203021037,0.435
203021038,0.405
203021039,0.473
203021040,0.441
203021041,0.430
203021042,0.495
203021043,0.424
203021044,0.420
203021045,0.411
203021046,0.521
203021047,0.438
203031048,0.455
203031049,0.538
203031050,0.479
203031051,0.514
203031052,0.554
203031053,0.492
204011054,0.526
204011055,0.514
204011056,0.424
204011057,0.503
204011058,0.478
204011059,0.416
204011060,0.467
204011061,na
204011062,0.502
204021063,0.449
204021064,0.527
204021065,0.444
204021066,0.439
204021067,0.478
204031068,0.467
204031069,0.482
204031070,0.415
204031071,0.448
204031072,0.470
204031073,0.397
204031074,0.407
204031075,0.442
205011076,0.437
205011077,0.495
205011078,0.481
205011079,0.471
205021080,na
205021081,0.447
205021082,0.479
205021084,0.483
205021085,0.503
205021086,0.507
205031087,0.546
205031088,na
205031089,0.488
205031090,0.479
205031091,0.470
205031092,na
205031093,0.478
205041094,0.471
205041095,0.459
205041096,0.458
205041097,0.451
205041098,0.459
205051099,na
205051100,0.522
205051101,0.487
205051102,0.521
205051103,0.487
205051104,0.526
206011105,0.441
206011106,0.433
206011107,0.440
206011108,0.434
206011109,0.436
206021110,0.477
206021111,0.461
206021112,0.432
206031113,0.477
206031114,0.485
206031115,0.462
206031116,0.478
206041117,0.532
206041118,0.510
206041119,0.601
206041120,na
206041121,0.420
206041122,0.572
206041123,0.500
206041124,0.556
206041125,0.628
206041126,0.516
206041127,na
206051128,0.599
206051129,0.482
206051130,0.494
206051131,na
206051132,0.535
206051133,0.503
206051134,0.443
206061135,0.601
206061136,0.499
206061137,0.551
206061138,na
206071139,0.445
206071140,0.524
206071141,0.454
206071142,0.510
206071143,0.506
206071144,0.462
206071145,0.495
207011146,0.532
207011147,0.590
207011148,0.550
207011149,0.579
207011150,0.545
207011151,0.589
207011152,0.565
207011153,0.609
207011154,0.541
207011155,0.637
207021156,0.497
207021157,0.532
207021159,0.549
207021160,0.502
207021424,0.507
207021425,0.488
207031161,0.495
207031162,0.480
207031163,0.507
207031164,0.500
207031165,0.514
207031166,0.492
207031167,0.540
208011168,0.561
208011169,0.632
208011170,0.558
208011171,0.474
208011172,0.571
208011173,0.555
208021174,0.493
208021176,0.461
208021177,0.560
208021178,0.520
208021179,0.523
208021180,0.441
208021181,0.471
208021182,0.467
208021426,0.468
208021427,0.459
208031183,0.445
208031184,0.548
208031185,0.466
208031186,0.412
208031187,0.393
208031188,0.449
208031189,0.447
208031190,0.467
208031191,0.454
208031192,na
208031193,0.459
208041194,0.585
208041195,0.568
209011196,0.439
209011197,0.432
209011198,0.469
209011199,0.431
209011200,0.514
209011201,0.578
209011202,0.450
209011203,0.445
209011204,0.410
209021205,0.505
209021207,0.409
209021208,0.419
209021428,0.419
209021429,0.433
209031209,0.470
209031210,0.425
209031211,0.431
209031212,0.499
209031213,0.475
209031214,0.530
209031215,0.428
209041216,0.452
209041217,0.421
209041219,0.401
209041220,0.395
209041221,0.394
209041223,0.412
209041224,0.381
209041225,0.431
209041430,0.386
209041431,0.388
209041432,0.388
209041433,0.386
209041434,0.372
209041435,0.382
209041436,0.382
209041437,0.360
210011226,0.408
210011227,na
210011228,0.475
210011229,0.443
210011230,0.450
210011231,0.482
210021232,0.465
210021233,0.526
210021234,0.428
210021235,0.460
210031236,0.431
210031237,0.436
210031239,0.414
210031438,0.414
210031439,0.402
210031440,0.422
210041240,0.421
210041241,0.404
210051242,0.405
210051243,0.424
210051245,0.409
210051246,0.430
210051247,0.398
210051248,na
210051249,0.405
210051250,0.370
210051441,0.367
210051442,0.378
210051443,0.376
210051444,0.375
210051445,0.397
211011251,0.406
211011254,0.433
211011255,0.467
211011256,0.427
211011257,0.431
211011258,0.432
211011259,0.443
211011260,0.471
211011446,0.396
211011447,0.407
211011448,0.406
211011449,0.402
211021261,0.536
211021262,0.541
211031263,0.391
211031265,0.440
211031266,0.440
211031267,0.438
211031268,0.462
211031450,0.396
211031451,0.457
211031452,0.424
211041269,0.472
211041270,0.450
211041271,0.451
211041272,0.475
211041273,0.511
211051274,0.457
211051275,0.442
211051276,0.457
211051277,0.395
211051278,0.443
211051279,0.468
211051280,0.440
211051281,0.404
211051282,0.482
211051283,0.416
211051284,0.410
211051285,0.447
211051286,0.424
212011287,0.416
212011288,0.444
212011289,0.454
212011290,0.449
212011291,0.369
212011292,0.378
212021293,0.473
212021294,0.411
212021295,0.377
212021297,0.395
212021299,0.492
212021453,0.424
212021454,0.416
212021455,0.394
212021456,0.370
212031300,0.369
212031301,0.365
212031302,0.368
212031303,0.421
212031304,0.344
212031305,0.359
212031306,0.375
212031308,0.410
212031457,0.425
212031458,0.383
212041309,0.418
212041310,0.413
212041311,0.414
212041312,0.407
212041313,0.447
212041314,0.420
212041316,0.394
212041317,0.427
212041318,0.401
212041459,0.381
212041460,0.389
212051319,0.467
212051320,0.473
212051321,0.526
212051322,0.511
212051323,0.516
212051324,0.500
212051325,0.446
212051326,0.445
212051327,0.524
213011328,0.393
213011329,0.405
213011330,0.382
213011331,0.373
213011332,0.411
213011333,0.381
213011334,0.408
213011335,0.406
213011336,0.410
213011337,0.413
213011338,0.396
213011339,0.397
213011340,0.426
213021341,0.437
213021342,0.388
213021343,0.408
213021344,0.429
213021345,0.390
213021346,0.506
213031347,0.420
213031348,0.427
213031349,0.450
213031350,0.413
213031351,0.412
213031352,0.424
213041353,0.413
213041355,0.387
213041356,0.391
213041357,0.382
213041358,0.375
213041359,0.407
213041360,0.396
213041461,0.387
213041462,0.377
213041463,0.401
213051361,0.400
213051362,0.401
213051363,0.412
213051365,0.383
213051366,0.380
213051368,0.422
213051369,0.373
213051464,0.464
213051465,0.418
213051466,0.414
213051467,0.396
213051468,0.410
214011370,0.359
214011371,0.415
214011372,0.389
214011373,0.458
214011374,0.409
214011375,0.396
214011376,0.412
214021377,0.493
214021378,0.578
214021379,0.447
214021380,0.486
214021381,0.548
214021382,0.505
214021383,0.553
214021384,0.456
214021385,0.431
215011386,0.418
215011387,0.523
215011388,0.444
215011389,na
215011390,0.615
215011391,0.512
215011392,0.452
215011393,0.507
215011394,0.548
215021395,0.446
215021396,0.439
215021398,0.497
215021399,0.478
215021469,0.441
215021470,0.428
215031400,0.639
215031401,0.547
215031402,0.468
215031403,0.527
215031404,0.442
215031405,0.498
216011406,0.440
216011407,0.462
216011408,0.506
216011409,0.508
216011410,0.560
216021411,0.437
216021412,0.495
216021413,0.517
216021414,0.462
216031415,0.402
216031416,0.442
216031417,0.437
216031418,0.493
216031419,0.475
217011420,0.472
217011421,0.464
217011422,0.446
217011423,0.504
217031471,0.476
217031472,0.426
217031473,0.504
217031474,0.485
217031475,0.514
217031476,0.502
217041477,0.488
217041478,0.469
217041479,0.436
217041480,0.451
301011001,0.391
301011002,0.526
301011003,0.435
301011004,0.403
301011005,0.402
301011006,0.459
301021007,0.523
301021008,0.513
301021009,0.439
301021011,0.412
301021012,0.449
301021013,0.446
301021527,0.491
301031014,na
301031015,0.544
301031016,0.428
301031017,0.426
301031018,0.398
301031019,0.450
301031020,0.455
301031021,0.394
302011022,0.392
302011023,0.528
302011024,0.448
302011025,0.418
302011026,0.459
302021027,0.455
302021028,0.410
302021029,0.438
302021030,0.418
302021031,0.434
302021032,0.410
302021033,0.428
302021034,0.441
302031035,0.411
302031036,na
302031037,0.479
302031038,0.419
302031039,0.402
302031040,0.403
302041041,0.396
302041042,0.425
302041043,0.418
302041044,0.469
302041045,0.389
302041046,0.384
303011047,0.475
303011048,0.438
303011049,0.413
303011050,0.435
303011051,0.510
303021052,0.445
303021053,0.474
303021054,0.500
303021055,0.437
303021056,0.445
303021057,0.492
303021058,0.463
303021059,0.523
303031060,0.487
303031061,0.500
303031062,0.442
303031063,0.428
303031064,0.506
303031065,0.460
303031066,0.464
303041067,0.434
303041068,0.421
303041069,0.572
303041070,0.420
303041071,0.467
303051072,0.397
303051073,0.452
303051074,0.392
303051075,0.419
303051076,0.407
303061077,0.470
303061078,0.449
303061079,0.506
303061080,0.493
304011081,0.478
304011082,0.441
304011083,0.389
304011084,0.481
304011085,0.502
304021086,0.463
304021087,0.617
304021088,0.528
304021089,0.584
304021090,0.514
304021091,0.566
304031092,0.575
304031093,0.511
304031094,0.572
304031095,0.511
304031096,0.626
304031097,0.523
304041098,0.409
304041099,na
304041100,0.434
304041101,0.426
304041103,0.498
304041104,0.433
305011105,0.598
305011106,0.445
305011107,0.543
305011108,0.530
305011109,0.541
305011110,0.541
305011111,0.535
305011112,0.516
305021113,0.510
305021114,0.534
305021115,0.493
305021116,0.569
305021117,0.432
305021118,0.510
305031119,0.453
305031120,0.487
305031121,0.630
305031122,0.539
305031123,0.494
305031124,0.594
305031125,0.544
305031126,0.517
305031127,0.512
305031128,0.523
305031129,0.540
305031130,0.489
305031131,0.475
305041132,0.519
305041133,0.518
305041134,0.561
305041135,0.524
305041136,0.498
305041137,0.519
306011138,0.421
306011139,0.461
306011140,0.458
306011141,0.421
306011142,0.428
306011143,0.430
306021144,0.368
306021145,0.493
306021146,0.425
306021147,0.381
306021148,0.417
306021149,0.438
306021151,0.381
306021152,0.420
306021153,0.393
306021154,0.423
306021155,0.388
306021156,0.487
306021157,0.378
306031158,0.467
306031159,0.449
306031160,0.446
306031161,0.479
306031162,na
306031163,0.382
306041164,0.445
306041165,0.448
306051166,0.498
306051167,0.533
306051168,0.473
306051169,0.530
306051170,0.458
307011171,0.544
307011172,0.497
307011173,0.544
307011174,0.677
307011175,0.556
307011176,0.451
307011177,0.572
307011178,0.576
307021179,0.519
307021180,0.436
307021181,0.552
307021182,0.510
307021183,0.456
307031184,0.520
307031185,0.501
307031186,0.549
307031187,0.467
307031188,0.498
307031189,0.440
308011190,0.460
308011191,0.548
308011192,0.462
308031205,0.389
308031206,0.474
308031207,0.475
308031208,0.431
308031209,0.442
308031210,0.422
308031211,0.386
308031212,0.459
308031213,0.429
308031214,0.391
308031215,0.411
308031216,0.426
308031217,0.475
308031218,0.490
308031219,0.564
308031220,0.535
308031221,na
308031222,0.502
308031223,0.467
308041528,0.529
308041529,0.452
308051530,0.544
308051531,0.473
308051532,na
308051533,0.465
308051534,0.501
308051535,0.478
308051536,0.450
308051537,na
308051538,0.460
308051539,0.497
309011224,0.534
309011225,0.470
309011226,0.454
309011227,0.508
309011228,0.466
309011229,0.449
309021230,0.504
309021231,0.483
309021232,0.448
309021233,0.440
309021234,0.470
309031235,0.452
309031236,0.459
309031237,0.429
309031238,0.419
309031239,0.560
309031240,0.508
309041241,0.473
309041242,0.474
309051243,0.494
309051244,0.457
309051245,0.444
309061246,0.446
309061247,0.406
309061248,0.416
309061249,0.410
309061250,0.477
309071251,0.438
309071252,0.457
309071253,0.546
309071254,0.467
309071255,0.400
309071256,0.406
309071257,0.400
309071258,0.406
309081259,0.554
309081260,0.401
309081261,0.451
309081262,0.444
309091263,0.454
309091264,0.437
309091265,0.431
309091540,0.460
309091541,0.514
309101267,0.536
309101268,0.552
309101269,0.588
309101270,0.542
310011271,0.402
310011272,0.398
310011273,0.396
310011274,0.394
310011275,0.408
310011276,0.395
310021277,0.477
310021278,0.511
310021279,na
310021280,0.436
310021281,0.436
310021282,0.419
310031283,0.393
310031284,0.375
310031285,0.360
310031286,0.430
310031287,0.406
310031288,0.428
310031289,0.418
310031290,0.426
310031291,0.392
310031292,0.386
310031293,0.378
310031294,0.366
310031295,0.388
310041296,0.405
310041297,0.388
310041298,na
310041299,0.364
310041300,0.376
310041301,na
310041302,0.360
310041303,0.362
310041304,0.367
311011305,0.447
311021306,0.390
311021307,0.394
311021308,0.360
311021309,0.386
311021310,0.421
311031311,0.401
311031312,0.363
311031313,0.419
311031314,0.350
311031316,0.400
311031317,0.362
311031318,0.400
311031319,0.365
311041320,0.408
311041321,0.393
311041322,0.420
311051323,0.379
311051324,0.440
311051325,0.380
311051326,0.388
311051327,0.414
311051328,0.383
311061329,0.440
311061330,0.367
311061331,0.382
311061332,0.406
311061333,0.367
311061334,0.403
311061335,0.422
311061336,0.382
312011337,0.491
312011338,0.463
312011339,0.530
312011340,0.519
312011341,0.423
312021342,0.421
312021343,0.433
312021344,0.446
312021346,0.461
312021347,0.498
312021348,0.469
312021349,0.456
312021350,0.433
312021351,0.451
312021352,0.455
312021353,0.491
312021354,0.432
312021355,0.445
312021356,0.415
312021357,0.449
312021358,0.438
312031359,0.450
312031361,0.450
313011362,0.456
313011363,0.513
313021364,0.433
313021365,0.431
313021366,0.404
313021367,0.426
313021368,0.393
313021369,0.462
313031370,0.448
313031371,0.461
313041372,0.413
313041373,0.393
313041374,0.439
313041375,0.400
313041376,0.450
313051377,0.408
313051378,0.442
313051379,0.447
313051380,0.409
313051542,0.504
314011382,0.444
314011383,0.412
314011384,0.478
314011385,0.435
314011386,0.421
314011387,0.530
314021388,0.372
314021389,0.403
314021390,0.418
314031391,0.371
314031392,0.388
314031393,0.391
314031394,0.385
315011395,0.468
315011396,0.472
315011397,na
315011398,0.492
315011399,0.415
315011400,0.555
315011401,0.391
315011402,0.425
315011403,0.391
315021404,0.454
315021405,0.387
315021406,0.429
315021407,0.548
315031408,0.512
315031409,0.472
315031410,0.490
315031411,0.496
315031412,0.541
316011413,0.514
316011414,0.504
316011415,0.441
316011416,0.451
316021417,0.447
316021418,0.531
316021419,0.513
316021420,0.436
316021421,0.532
316021422,0.495
316021423,0.484
316021424,0.454
316031425,0.478
316031426,0.465
316031427,0.462
316031428,0.495
316051434,0.570
316051435,0.547
316051437,0.525
316051438,0.454
316051543,0.505
316051544,0.478
316061439,0.479
316061440,0.558
316061441,0.456
316061442,0.454
316061443,0.553
316061444,0.494
316071545,0.448
316071546,0.524
316071547,0.489
316071548,0.428
316081549,0.509
317011445,0.443
317011446,0.430
317011447,0.403
317011448,0.455
317011449,0.392
317011450,0.455
317011451,0.455
317011452,0.493
317011453,0.402
317011454,0.421
317011455,0.484
317011456,0.439
317011457,0.508
317011458,0.420
317011459,0.386
318011460,0.442
318011461,0.448
318011462,0.468
318011463,0.563
318011464,0.428
318011465,0.440
318011466,0.393
318021467,0.431
318021468,0.440
318021469,0.486
318021470,0.386
318021471,0.406
318021472,0.432
318021473,0.372
318021474,0.440
318021475,0.411
318021476,0.389
318021477,0.417
318021478,0.417
318021479,0.459
318021480,0.405
318021481,0.414
318021482,0.390
318021483,0.489
318021484,0.396
318021485,0.463
318021486,0.445
318021487,0.408
318021488,0.402
318021489,0.436
